lat,lon,mask
90,-180,1
90,-179,1
90,-178,1
90,-177,1
90,-176,1
90,-175,1
90,-174,1
90,-173,1
90,-172,1
90,-171,1
90,-170,1
90,-169,1
90,-168,1
90,-167,1
90,-166,1
90,-165,1
90,-164,1
90,-163,1
90,-162,1
90,-161,1
90,-160,1
90,-159,1
90,-158,1
90,-157,1
90,-156,1
90,-155,1
90,-154,1
90,-153,1
90,-152,1
90,-151,1
90,-150,1
90,-149,1
90,-148,1
90,-147,1
90,-146,1
90,-145,1
90,-144,1
90,-143,1
90,-142,1
90,-141,1
90,-140,1
90,-139,1
90,-138,1
90,-137,1
90,-136,1
90,-135,1
90,-134,1
90,-133,1
90,-132,1
90,-131,1
90,-130,1
90,-129,1
90,-128,1
90,-127,1
90,-126,1
90,-125,1
90,-124,1
90,-123,1
90,-122,1
90,-121,1
90,-120,1
90,-119,1
90,-118,1
90,-117,1
90,-116,1
90,-115,1
90,-114,1
90,-113,1
90,-112,1
90,-111,1
90,-110,1
90,-109,1
90,-108,1
90,-107,1
90,-106,1
90,-105,1
90,-104,1
90,-103,1
90,-102,1
90,-101,1
90,-100,1
90,-99,1
90,-98,1
90,-97,1
90,-96,1
90,-95,1
90,-94,1
90,-93,1
90,-92,1
90,-91,1
90,-90,1
90,-89,1
90,-88,1
90,-87,1
90,-86,1
90,-85,1
90,-84,1
90,-83,1
90,-82,1
90,-81,1
90,-80,1
90,-79,1
90,-78,1
90,-77,1
90,-76,1
90,-75,1
90,-74,1
90,-73,1
90,-72,1
90,-71,1
90,-70,1
90,-69,1
90,-68,1
90,-67,1
90,-66,1
90,-65,1
90,-64,1
90,-63,1
90,-62,1
90,-61,1
90,-60,1
90,-59,1
90,-58,1
90,-57,1
90,-56,1
90,-55,1
90,-54,1
90,-53,1
90,-52,1
90,-51,1
90,-50,1
90,-49,1
90,-48,1
90,-47,1
90,-46,1
90,-45,1
90,-44,1
90,-43,1
90,-42,1
90,-41,1
90,-40,1
90,-39,1
90,-38,1
90,-37,1
90,-36,1
90,-35,1
90,-34,1
90,-33,1
90,-32,1
90,-31,1
90,-30,1
90,-29,1
90,-28,1
90,-27,1
90,-26,1
90,-25,1
90,-24,1
90,-23,1
90,-22,1
90,-21,1
90,-20,1
90,-19,1
90,-18,1
90,-17,1
90,-16,1
90,-15,1
90,-14,1
90,-13,1
90,-12,1
90,-11,1
90,-10,1
90,-9,1
90,-8,1
90,-7,1
90,-6,1
90,-5,1
90,-4,1
90,-3,1
90,-2,1
90,-1,1
90,0,1
90,1,1
90,2,1
90,3,1
90,4,1
90,5,1
